,source,author,title,description,url,urlToImage,publishedAt,content
17,"{'id': 'cnn', 'name': 'CNN'}",Nathaniel Meyersohn,Use code 'Bankrun': Camp toy store pleads for help after Silicon Valley Bank collapse,A toy company based in New York has gotten caught up in the collapse of Silicon Valley Bank and is pleading with customers for help keeping it afloat.,https://www.cnn.com/2023/03/10/business/camp-toy-store-svb-bank/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230310161851-camp-store-file-restricted.jpg?c=16x9&q=w_800,c_fill",2023-03-10T22:28:20Z,"A toy company based in New York has gotten caught up in the collapse of Silicon Valley Bank and is pleading with customers for help keeping it afloat.
Camp, a venture-backed retailer, sent an email … [+1685 chars]"
18,"{'id': 'business-insider', 'name': 'Business Insider'}",gglover@insider.com (George Glover),This chart shows how the failures of SVB and Signature compare with the biggest banking collapses ever,"Silicon Valley Bank held $209 billion in assets when it collapsed, according to the FDIC. That makes it the second-biggest banking failure ever.",https://markets.businessinsider.com/news/stocks/svb-crisis-silicon-valley-bank-signature-biggest-collapses-ever-chart-2023-3,https://i.insider.com/640f404fff11870018c50007?width=1200&format=jpeg,2023-03-13T16:26:22Z,"The back-to-back collapses of two large lenders has plunged the US banking sector into turbulence.
Silicon Valley Bank failed Friday after disclosing massive losses on its bond portfolio, triggering… [+1503 chars]"
19,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Carla Mozée),"Bitcoin plunges under $20,000 to its lowest point in 2 months as Silvergate blow-up and bank fears rattle risk assets",Bitcoin is veering toward a weekly loss as a fresh pain point for the crypto sector emerged from the failure of crypto-friendly Silvergate Bank.,https://markets.businessinsider.com/news/currencies/bitcoin-price-20000-silvergate-ether-silicon-valley-bank-turmoil-markets-2023-3,https://i.insider.com/5d669bfb2e22af0e7c65d5e8?width=1200&format=jpeg,2023-03-10T16:22:49Z,Bitcoin slumped to its lowest price in two months Friday as the collapse of crypto depositor Silvergate Bank and the blow-up of tech startup lender Silicon Valley Bank fueled a retreat by investors f… [+2141 chars]
20,"{'id': 'business-insider', 'name': 'Business Insider'}",jsor@insider.com (Jennifer Sor),It's crystal clear now: More banks are going to fail,"Commentators are warning of another banking crisis on the horizon, as bank stocks buckle under fears of contagion from SVB's failure.",https://markets.businessinsider.com/news/stocks/silicon-valley-bank-run-collapse-contagion-failure-bailout-financial-crisis-2023-3,https://i.insider.com/640f6c76f724e7001800caf6?width=1200&format=jpeg,2023-03-13T18:23:50Z,"The dust is still settling following the collapse of Silicon Valley Bank, but there's one thing that's clear: more banks are probably going to fail. 
SVB's operations were shuttered on Friday by the… [+3575 chars]"
21,"{'id': 'business-insider', 'name': 'Business Insider'}",bmetzger@insider.com (Bryan Metzger),These 13 Democratic senators joined with Republicans to roll back banking regulations in 2018. Progressives say that contributed to Silicon Valley Bank's collapse.,"Sen. Bernie Sanders said the bank failure was the ""direct result"" of the ""absurd"" bill, which couldn't have passed the Senate without Democratic help.",https://www.businessinsider.com/democratic-senators-who-voted-2018-bill-regulations-silicon-valley-bank-2023-3,https://i.insider.com/641078e7f724e7001800e23d?width=1200&format=jpeg,2023-03-14T14:35:13Z,"In the wake of the collapse of Silicon Valley Bank, a 2018 bill championed by Republicans and former President Donald Trump has received renewed scrutiny.
But the bill couldn't have passed the Senat… [+3058 chars]"
22,"{'id': 'business-insider', 'name': 'Business Insider'}",amcdade@insider.com (Aaron McDade),"Billionaire investor Bill Ackman says feds 'screwed up' handling of Silicon Valley Bank collapse, warning they have '48 hours to fix a soon-to-be-irreversible mistake'","Ackman criticized the government's lack of intervention in SVB's collapse on Friday, as well as its failure to monitor the bank for possible risks.",https://www.businessinsider.com/billionaire-investor-bill-ackman-urges-feds-step-in-svb-collapse-2023-3,https://i.insider.com/640cd9bcff11870018c4e1f2?width=1200&format=jpeg,2023-03-11T20:28:36Z,Billionaire investor Bill Ackman is calling on the federal government to intervene in the collapse of Silicon Valley Bank after the once-trusted bank of tech and startup founders was shutdown by regu… [+3425 chars]
23,"{'id': 'business-insider', 'name': 'Business Insider'}",htan@insider.com (Huileng Tan),The CEO of Silicon Valley Bridge Bank is asking customers to return. But spooked Americans are moving billions out of smaller banks and into Wall Street giants.,The failure of two mid-sized banks over the weekend spooked investors and depositors who are worrying about the financial health of regional banks.,https://www.businessinsider.com/svb-bank-crisis-bofa-citi-jpmorgan-deposit-inflows-run-2023-3,https://i.insider.com/64113111b6d9f200189121d4?width=1200&format=jpeg,2023-03-15T08:02:35Z,"The new CEO of Silicon Valley Bridge Bank is asking customers to help the lender by moving back the money they had withdrawn over the last few days.
""The number one thing you can do to support the f… [+2542 chars]"
24,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Cheryl Teh),Bernie Sanders says Silicon Valley Bank's failure is the 'direct result' of a Trump-era bank regulation policy,Sanders said a Trump-era bill was to blame for the SVB bank run. The 2018 law rolled back bank regulations and eased rules on most mid-sized banks.,https://www.businessinsider.com/silicon-valley-bank-bernie-sanders-donald-trump-blame-2023-3,https://i.insider.com/640e926b340fa00018fda7f4?width=1200&format=jpeg,2023-03-13T04:51:30Z,"Sen. Bernie Sanders has blamed a Trump-era banking law for the Silicon Valley Bank's failure.
""Let's be clear. The failure of Silicon Valley Bank is a direct result of an absurd 2018 bank deregulati… [+3087 chars]"
25,"{'id': 'business-insider', 'name': 'Business Insider'}",gglover@insider.com (George Glover),First Republic leads a comeback for bank stocks that cratered in the SVB-fueled selloff,First Republic and Western Alliance shares are recovering from huge losses thanks to hopes Silicon Valley Bank's failure won't trigger a crisis.,https://markets.businessinsider.com/news/stocks/first-republic-stock-price-western-alliance-svb-silicon-valley-bank-2023-3,https://i.insider.com/6410538bf724e7001800de79?width=1200&format=jpeg,2023-03-14T12:02:50Z,"Regional bank stocks staged a comeback in premarket trading Tuesday, as investors started to feel reassured that the collapse of Silicon Valley Bank won't trigger a broader financial crisis.
San Fra… [+2476 chars]"
26,"{'id': 'business-insider', 'name': 'Business Insider'}",ztayeb@businessinsider.com (Zahra Tayeb),Western Alliance shares plummet 70% as bank stocks take a beating from SVB's collapse,Western Alliance shares fell as much as 73% in premarket Monday as investors fretted about the pressures behind Silicon Valley Bank's failure.,https://markets.businessinsider.com/news/stocks/western-alliance-stock-silicon-valley-bank-failure-fears-contagion-liquidity-2023-3,https://i.insider.com/640f1b9d340fa00018fdb053?width=1200&format=jpeg,2023-03-13T13:24:05Z,"Shares in Western Alliance Bancorp are getting hammered as smaller lenders come under pressure after the failure of Silicon Valley Bank.
The Arizona-based bank's stock plunged 73% to $13.07 in prema… [+1596 chars]"
27,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),The Fed says it will investigate its oversight of Silicon Valley Bank following the biggest bank failure since 2008,"""The events surrounding Silicon Valley Bank demand a thorough, transparent, and swift review by the Federal Reserve,"" Jerome Powell said Monday.",https://markets.businessinsider.com/news/stocks/federal-reserve-silicon-valley-bank-failure-investigate-jerome-powell-signature-2023-3,https://i.insider.com/640f8669f724e7001800d1c0?width=1200&format=jpeg,2023-03-13T20:59:39Z,"The Federal Reserve announced Monday that it will launch an investigation into its own supervision of Silicon Valley Bank, which collapsed on Friday.
Vice Chair for Supervision Michael Barr will lea… [+1663 chars]"
28,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),"Stocks will tumble if the Fed pauses rate hikes because it would mean other banks are about to collapse, DataTrek Research says","A pause in Fed rate hikes ""would be a sign that they knew other US regional banks were on the precipice of failure,"" DataTrek said.",https://markets.businessinsider.com/news/stocks/silicon-valley-bank-stock-market-fed-policy-failure-collapse-rates-2023-3,https://i.insider.com/6411ba049aa2e6001956fa3e?width=1200&format=jpeg,2023-03-15T13:08:45Z,"The stock market could see a sell-off if the Federal Reserve decides against an interest rate hike at the March meeting, as it would suggest more banks are teetering, according to DataTrek Research. … [+1677 chars]"
29,"{'id': 'business-insider', 'name': 'Business Insider'}",mfox@businessinsider.com (Matthew Fox),"There's a shocking similarity between the downfall of FTX and the implosion of Silicon Valley Bank, Fundstrat says","""The speed of failure of SIVB is stunning and enabled in a digital world, in fact, its collapse mirrors the implosion of FTX,"" Fundstrat said.",https://markets.businessinsider.com/news/stocks/silicon-valley-bank-implosion-ftx-fast-spreading-digital-panic-fundstrat-2023-3,https://i.insider.com/63ca7aa02a1e600018b8d4b7?width=1200&format=jpeg,2023-03-13T16:28:52Z,"Silicon Valley Bank imploded in a matter of days, and its swift downfall highlights the speed at which panic can spread in the digital era, according to Fundstrat's Tom Lee.
The investing world was … [+1999 chars]"
30,"{'id': None, 'name': 'The Guardian'}",Guardian community team,Tell us: are you affected by the Silicon Valley Bank collapse?,"We’re interested to hear how affected SVB investors and workers in the tech and start-up sector view the bank failure and what the wider implications might beWe’re keen to hear from investors who have been affected by the collapse of Silicon Valley Bank, whic…",https://www.theguardian.com/business/2023/mar/13/tell-us-are-you-affected-by-the-silicon-valley-bank-collapse,https://i.guim.co.uk/img/media/5f267b6caf5eb274508bf87dbdeaef6d1784d0a8/0_152_5326_3195/master/5326.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=447c7d6814d58db79d1e018f975edfc0,2023-03-13T10:56:41Z,"Were keen to hear from investors who have been affected by the collapse of Silicon Valley Bank, which failed after a run on the lender that was originally sparked by fears over the a multibillion-pou… [+756 chars]"
31,"{'id': None, 'name': 'The Guardian'}",Joseph Stiglitz,Silicon Valley Bank’s failure is predictable – what can we learn from it?,The collapse of SVB highlights deep failures in the conduct of regulatory and monetary policy<ul><li>Live coverage of Silicon Valley Bank collapse</li><li>Global banking shares slide as SVB fallout spreads</li><li>Why did it collapse and is this the start of …,https://www.theguardian.com/business/2023/mar/13/silicon-valley-bank-failure-svb-collapse,https://i.guim.co.uk/img/media/e967c76fe472bd45df614495d74ba9c6bfdc1779/0_372_5760_3456/master/5760.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=b6eae2829298a966d00874fac85b27fe,2023-03-13T14:51:20Z,"The run on Silicon Valley Bank on which nearly half of all venture-backed tech startups in the US depend is in part a rerun of a familiar story, but its more than that. Once again, economic policy an… [+7874 chars]"
32,"{'id': None, 'name': 'NPR'}",Bobby Allyn,Silicon Valley Bank failure could wipe out 'a whole generation of startups',"The implosion of Silicon Valley Bank could force hundreds of tech startups to lay off workers or shut down completely. It remains unclear how much, if any, of depositors' money will be returned.",https://www.npr.org/2023/03/11/1162805718/silicon-valley-bank-failure-startups,https://media.npr.org/assets/img/2023/03/11/shelf-engine-photo_wide-eb1f8ac01e70d1bcd531001afbbcaa0d303e8e96-s1400-c100.jpg,2023-03-11T07:00:11Z,"Shelf Engine co-founders Bede Jordan, left, and Stefan Kalb
Shelf Engine 
Stefan Kalb was in the middle of a meeting around 1 p.m. on Thursday when a fellow company executive sent him a panicked Sl… [+5799 chars]"
33,"{'id': 'cnn', 'name': 'CNN'}",Krystal Hur,Dow falls 500 points as banking fears spread,The Dow opened the day with a decline of more than 500 points Wednesday as banking fears spread across global markets.,https://www.cnn.com/2023/03/15/investing/markets-bank-sector-march-15/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230314090937-01-nyse-0313.jpg?c=16x9&q=w_800,c_fill",2023-03-15T13:36:42Z,"The Dow opened the day with a decline of more than 500 points Wednesday as banking fears spread across global markets.
The S&amp;P and Nasdaq slipped roughly 2% and 1.5%, respectively.
Shares of em… [+1731 chars]"
34,"{'id': 'business-insider', 'name': 'Business Insider'}",zsalfiti@insider.com (Zinya Salfiti),'Dr Doom' Nouriel Roubini warns SVB's collapse could spread havoc beyond the US,"Not long before Credit Suisse worries sank shares, economist Nouriel Roubini warned that Silicon Valley Bank's failure risks global banking contagion.",https://markets.businessinsider.com/news/stocks/dr-doom-nouriel-roubini-svb-failure-collapse-global-contagion-risk-2023-3,https://i.insider.com/6411b4349aa2e6001956f9a3?width=1200&format=jpeg,2023-03-15T12:48:24Z,"Nouriel Roubini, one of the economists who predicted the 2008 financial crash, has warned that Silicon Valley Bank's failure poses a risk of global banking contagion and the fallout could hit compani… [+1296 chars]"
35,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Madison Hoff),Inflation cooled down again in February as the Fed wrestles with the Silicon Valley Bank failure,The consumer price index jumped 6.0% in February from the same time a year ago according to new data from the Bureau of Labor Statistics.,https://www.businessinsider.com/inflation-price-growth-us-cpi-february-2023-3,https://i.insider.com/640f32a1ff11870018c4fc27?width=1200&format=jpeg,2023-03-14T12:43:03Z,"Elevated inflation continued to fall in February, based on year-over-year changes, and matched the forecast from economists.
According to Tuesday's consumer price index (CPI) report from the Bureau … [+2861 chars]"
36,"{'id': 'business-insider', 'name': 'Business Insider'}",ddefrancesco@businessinsider.com (Dan DeFrancesco),Everything you need to know about a crazy weekend in the wake of Silicon Valley Bank's failure,A key ally for the tech industry in Silicon Valley Bank was toppled on Friday. Here's how the industry reacted.,https://www.businessinsider.com/silicon-valley-bank-failure-weekend-recap-tech-industry-2023-3,https://i.insider.com/640dd6d9ff11870018c4e58f?width=1200&format=jpeg,2023-03-13T11:55:00Z,"What a weekend! Dan DeFrancesco in NYC. 
What do you think we've got for stories today? It's all about Silicon Valley Bank going down and the knock-on effects.
If you're not up to speed, here's a q… [+6048 chars]"
37,"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),Dow tumbles nearly 500 points as Credit Suisse stokes fears of bank failure contagion,"Credit Suisse plunged more than 20%, as Saudi backers ruled out further investment in the embattled company.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-silicon-valley-bank-credit-suisse-crisis-2023-3,https://i.insider.com/6411c3539aa2e6001956fb51?width=1200&format=jpeg,2023-03-15T13:36:11Z,"US stocks tumbled Wednesday, as the banking sector saw renewed turmoil but this time focused on Europe.
US-listed shares of Credit Suisse plunged more than 20%, as Saudi backers ruled out further in… [+531 chars]"
38,"{'id': 'cnn', 'name': 'CNN'}",Stephen Collinson,Analysis: Biden team scrambles to contain financial and political contagion,The Biden administration's scramble to prevent financial contagion from the crash of Silicon Valley Bank is both an attempt to shield a resilient but still-vulnerable economy and to prevent grave political fallout.,https://www.cnn.com/2023/03/13/politics/biden-silicon-valley-bank-politics/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230307101055-white-house-file.jpg?c=16x9&q=w_800,c_fill",2023-03-13T04:02:23Z,The Biden administrations scramble to prevent financial contagion from the crash of Silicon Valley Bank is both an attempt to shield a resilient but still-vulnerable economy and to prevent grave poli… [+10297 chars]
39,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Molly Grace),"Today's Mortgage and Refinance Rates: March 14, 2023 | Rates at 3-week Low in Response to SVB Failure",Mortgage rates are low today after the closure of Silicon Valley Bank. Rates had previously been rising in anticipation of more hikes from the Fed.,https://www.businessinsider.com/personal-finance/best-mortgage-refinance-rates-today-tuesday-march-14-2023-3,https://i.insider.com/63288a5f4f9291001883a463?width=1200&format=jpeg,2023-03-14T10:00:00Z,"Our experts answer readers' home-buying questions and write unbiased product reviews (here's how we assess mortgages). In some cases, we receive a commission from our partners; however, our opinions … [+5606 chars]"
